_id	month	neighborhood_municipality	bivalent_booster
160804	2023-02-01	Duquesne Heights (Pittsburgh)	13
160805	2023-02-01	East Allegheny (Pittsburgh)	17
160806	2022-09-01	East Carnegie (Pittsburgh)	4
160807	2022-11-01	East Carnegie (Pittsburgh)	17
160808	2023-01-01	East Carnegie (Pittsburgh)	12
160809	2023-04-01	East Carnegie (Pittsburgh)	1
160810	2023-06-01	East Carnegie (Pittsburgh)	1
160811	2023-02-01	East Deer	9
160812	2022-10-01	East Liberty (Pittsburgh)	372
160813	2022-12-01	East Liberty (Pittsburgh)	157
160814	2023-03-01	East Liberty (Pittsburgh)	30
160815	2023-05-01	East Liberty (Pittsburgh)	23
160816	2023-07-01	East Liberty (Pittsburgh)	17
160817	2022-10-01	East Mckeesport	108
160818	2022-12-01	East Mckeesport	61
160819	2023-03-01	East Mckeesport	9
160820	2023-05-01	East Mckeesport	2
160821	2023-07-01	East Mckeesport	1
160822	2022-10-01	East Pittsburgh	66
160823	2022-12-01	East Pittsburgh	21
160824	2023-03-01	East Pittsburgh	6
160825	2023-07-01	East Pittsburgh	3
160826	2023-09-01	Edgewood	4
160827	2022-10-01	Elizabeth Borough	62
160828	2022-12-01	Elizabeth Borough	28
160829	2023-03-01	Elizabeth Borough	4
160830	2023-05-01	Elizabeth Borough	1
160831	2022-12-01	Elizabeth Township	269
160832	2023-05-01	Elizabeth Township	18
160833	2023-07-01	Elizabeth Township	5
160834	2022-09-01	Elliott (Pittsburgh)	15
160835	2022-11-01	Elliott (Pittsburgh)	97
160836	2023-01-01	Elliott (Pittsburgh)	16
160837	2023-04-01	Elliott (Pittsburgh)	4
160838	2023-06-01	Elliott (Pittsburgh)	1
160839	2023-08-01	Elliott (Pittsburgh)	2
160840	2023-10-01	Elliott (Pittsburgh)	1
160841	2022-11-01	Emsworth	150
160842	2023-01-01	Emsworth	22
160843	2023-04-01	Emsworth	9
160844	2023-06-01	Emsworth	6
160845	2023-08-01	Emsworth	1
160846	2022-10-01	Esplen (Pittsburgh)	11
160847	2022-12-01	Esplen (Pittsburgh)	5
160848	2023-03-01	Esplen (Pittsburgh)	2
160849	2023-07-01	Esplen (Pittsburgh)	1
160850	2023-09-01	Etna	4
160851	2022-09-01	Fairywood (Pittsburgh)	8
160852	2022-11-01	Fairywood (Pittsburgh)	59
160853	2023-01-01	Fairywood (Pittsburgh)	12
160854	2023-04-01	Fairywood (Pittsburgh)	3
160855	2023-08-01	Fairywood (Pittsburgh)	1
160856	2022-10-01	Fawn	102
160857	2022-12-01	Fawn	44
160858	2023-03-01	Fawn	2
160859	2023-05-01	Fawn	1
160860	2022-10-01	Fineview (Pittsburgh)	58
160861	2022-12-01	Fineview (Pittsburgh)	19
160862	2023-03-01	Fineview (Pittsburgh)	4
160863	2023-05-01	Fineview (Pittsburgh)	5
160864	2023-07-01	Fineview (Pittsburgh)	1
160865	2022-10-01	Forest Hills	644
160866	2022-12-01	Forest Hills	305
160867	2023-03-01	Forest Hills	28
160868	2023-05-01	Forest Hills	17
160869	2023-07-01	Forest Hills	10
160870	2023-02-01	Forward	4
160871	2022-09-01	Franklin Park	282
160872	2022-11-01	Franklin Park	1154
160873	2023-01-01	Franklin Park	345
160874	2023-04-01	Franklin Park	47
160875	2023-06-01	Franklin Park	44
160876	2022-09-01	Frazer	6
160877	2022-11-01	Frazer	56
160878	2023-01-01	Frazer	8
160879	2023-04-01	Frazer	1
160880	2023-06-01	Frazer	1
160881	2022-10-01	Friendship (Pittsburgh)	147
160882	2022-12-01	Friendship (Pittsburgh)	74
160883	2023-03-01	Friendship (Pittsburgh)	8
160884	2023-05-01	Friendship (Pittsburgh)	8
160885	2023-07-01	Friendship (Pittsburgh)	1
160886	2023-02-01	Garfield (Pittsburgh)	26
160887	2022-09-01	Glassport	21
160888	2022-11-01	Glassport	135
160889	2023-01-01	Glassport	35
160890	2023-04-01	Glassport	9
160891	2023-06-01	Glassport	3
160892	2023-08-01	Glassport	1
160893	2022-09-01	Glen Hazel (Pittsburgh)	2
160894	2022-11-01	Glen Hazel (Pittsburgh)	112
160895	2023-01-01	Glen Hazel (Pittsburgh)	2
160896	2023-04-01	Glen Hazel (Pittsburgh)	3
160897	2023-06-01	Glen Hazel (Pittsburgh)	2
160898	2023-08-01	Glen Hazel (Pittsburgh)	2
160899	2022-10-01	Glenfield	15
160900	2022-12-01	Glenfield	9
160901	2023-05-01	Glenfield	1
160902	2023-07-01	Glenfield	1
160903	2022-09-01	Green Tree	93
160904	2022-11-01	Green Tree	340
160905	2023-01-01	Green Tree	84
160906	2023-04-01	Green Tree	9
160907	2023-06-01	Green Tree	14
160908	2023-08-01	Green Tree	3
160909	2022-10-01	Greenfield (Pittsburgh)	697
160910	2022-12-01	Greenfield (Pittsburgh)	276
160911	2023-03-01	Greenfield (Pittsburgh)	36
160912	2023-05-01	Greenfield (Pittsburgh)	30
